id,name
offer_name_102,FBS_Single Source for Speed for Mid-Market_Public_Cloud
offer_name_103,FBS_Single Source for Speed_On_Premise
offer_name_104,FBS_Smart and Synchronized_On_Premise
offer_name_105,GEOVIA_GEOVIA GEMS_On_Premise
offer_name_106,GEOVIA_GEOVIA Hub_On_Premise
offer_name_107,GEOVIA_GEOVIA InSite_On_Premise
offer_name_108,GEOVIA_GEOVIA MineSched_On_Premise
offer_name_109,GEOVIA_GEOVIA Minex_On_Premise
offer_name_110,GEOVIA_GEOVIA Surpac_On_Premise
offer_name_111,GEOVIA_GEOVIA Whittle_On_Premise
offer_name_112,GEOVIA_GEOVIA_On_Premise
offer_name_113,HT_Business Operation Excellence_On_Premise
offer_name_114,HT_HT body (On Cloud)_Public_Cloud
offer_name_115,HT_HT body_On_Premise
offer_name_116,HT_Imagination Wave_On_Premise
offer_name_117,HT_Silicon Thinking_On_Premise
offer_name_118,HT_Smarter Faster Lighter_On_Premise
offer_name_119,HT_Social Ideation_On_Premise
offer_name_120,HT_Social Ideation_Public_Cloud
offer_name_121,IE_Simple Solution Selection_On_Premise
offer_name_122,IE_Single Source for Speed for Mid-Market_On_Premise
offer_name_123,IE_Single Source for Speed for Mid-Market_Public_Cloud
offer_name_124,IE_Single Source for Speed_On_Premise
offer_name_125,IE_Smart and Synchronized_On_Premise
offer_name_126,LS_License to Cure for Medical Device_On_Premise
offer_name_127,LS_Single Source for Speed for Mid-Market_On_Premise
offer_name_128,LS_Single Source for Speed for Mid-Market_Public_Cloud
offer_name_129,LS_Single Source for Speed_On_Premise
offer_name_130,LS_Smarter Faster Lighter_On_Premise
offer_name_131,LS_Social Ideation_On_Premise
offer_name_132,LS_Social Ideation_Public_Cloud
offer_name_133,MO_Designed For Sea_On_Premise
offer_name_134,MO_Express For Sea_Public_Cloud
offer_name_135,MO_On Time To Sea_On_Premise
offer_name_136,MO_Optimized Production For Sea_On_Premise
offer_name_137,MO_Single Source for Speed for Mid-Market_On_Premise
offer_name_138,MO_Single Source for Speed for Mid-Market_Public_Cloud
offer_name_139,MO_Single Source for Speed_On_Premise
offer_name_140,NETVIBES_NETVIBES NV1 Online_Public_Cloud
offer_name_141,NETVIBES_NETVIBES NV1_On_Premise
offer_name_142,NETVIBES_NETVIBES NV1_Public_Cloud
offer_name_143,NR_Efficient Plant Operation_On_Premise
